plant_trt,plantid,pop,bulk,stem,num_frt,trt,colour,seedv,seedinv,obs,frt_set
C,C067,1,0,1,1,HP,p.green,0,3,4,0
C,C098,1,0,1,1,HP,p.green,0,6,4,0
C,C152,1,0,2,1,HP,p.blue,0,5,4,0
C,C152,1,0,2,1,HP,p.blue,0,3,4,0
P,P191,1,0,1,1,HP,yellow,0,0,5,0
C,C233,1,0,2,1,OP,purple,0,4,5,0
C,C237,1,0,1,1,OP,purple,0,2,5,0
P,P012,1,0,1,1,OP,p.blue,0,4,4,0
P,P012,1,0,1,1,OP,p.blue,0,4,4,0
P,P234,1,0,1,1,OP,purple,0,2,5,0
P,P244,1,0,1,1,OP,purple,0,6,5,0
C,C091,1,0,1,1,UNP,,0,5,4,0
P,P122,1,0,1,1,UNP,,0,0,4,0
C,C127,2,0,2,1,OP,p.blue,0,4,5,0
C,C151,2,0,2,1,HP,p.blue,0,2,1,0
P,P157,2,0,2,1,OP,blue,0,0,5,0
P,P162,2,0,2,1,HP,p.blue,0,0,3,0
P,P183,2,0,1,1,OP,yellow,0,0,5,0
P,P183,2,0,2,1,OP,yellow,0,0,5,0
P,P189,2,0,1,1,UNP,,0,0,5,0
C,C098,1,0,1,1,OP,p.blue,1,4,4,0
C,C110,1,0,1,1,OP,p.blue,1,3,4,0
C,C180,1,0,1,1,OP,p.green,1,5,4,0
C,C190,2,0,2,1,HP,red,1,1,5,0
P,P184,2,0,2,1,OP,yellow,1,1,5,0
P,P189,2,0,2,1,OP,yellow,1,1,5,0
P,P190,2,0,1,1,UNP,,1,0,5,0
C,C012,1,0,2,1,HP,purple,2,0,4,0
C,C127,2,0,2,1,HP,p.green,2,10,5,0
P,P183,2,0,1,1,HP,red,2,2,5,0
C,C091,1,0,2,1,OP,p.blue,3,0,4,0
P,P122,1,0,2,1,UNP,,3,3,4,0
C,C184,2,0,1,1,UNP,,3,0,5,0
C,C146,1,0,1,1,HP,p.blue,4,4,4,0
P,P012,1,0,2,1,OP,p.blue,4,6,4,0
P,P012,1,0,2,1,OP,p.blue,4,5,4,0
P,P152,1,0,1,1,UNP,,4,4,4,0
P,P010,1,0,1,1,HP,purple,5,3,3,0
P,P136,2,0,2,1,OP,crimson,5,1,1,0
P,P012,1,0,2,1,HP,p.green,6,5,4,0
P,P010,1,0,1,1,OP,orange,6,3,3,0
C,C183,1,0,2,1,UNP,,6,2,4,0
C,C184,2,0,2,1,HP,LG,6,0,5,0
C,C189,2,0,2,1,HP,LG,6,0,5,0
P,P157,2,0,2,1,UNP,,6,3,5,0
C,C233,1,0,2,1,HP,orange,7,1,5,0
P,P172,2,0,1,1,UNP,,8,0,3,0
P,P234,1,0,1,1,HP,orange,9,2,5,0
P,P037,2,0,1,1,OP,p.green,9,3,5,0
P,P158,2,0,1,1,UNP,,9,2,5,0
P,P172,2,0,1,1,UNP,,9,3,3,0
C,C230,1,0,1,1,HP,yellow,10,46,4,1
P,P012,1,0,2,1,OP,p.blue,10,1,4,1
C,C072,1,0,1,1,UNP,,10,2,4,1
C,C188,2,0,2,1,UNP,,10,3,5,1
P,P162,2,0,2,1,HP,p.blue,10,0,2,1
C,C127,2,0,2,1,HP,ocre,11,5,5,1
C,C121,1,0,2,1,HP,p.blue,12,5,5,1
P,P122,1,0,1,1,UNP,,12,3,4,1
P,P037,2,0,1,1,UNP,,12,4,5,1
C,C151,1,0,1,1,OP,p.green,13,2,4,1
P,P229,1,0,2,1,OP,blue,13,0,4,1
P,P234,1,0,1,1,OP,purple,13,0,5,1
C,C230,1,0,1,1,HP,yellow,14,6,4,1
P,P227,1,0,1,1,UNP,,14,5,5,1
C,C188,2,0,2,1,HP,p.green,14,4,5,1
P,P155,2,0,2,1,UNP,,14,1,3,1
P,P157,2,0,2,1,HP,green,14,0,5,1
C,C072,1,0,1,1,UNP,,15,20,4,1
C,C105,2,0,2,1,UNP,,15,0,3,1
C,C188,2,0,1,1,UNP,,15,3,5,1
C,C239,1,0,1,1,HP,orange,16,3,2,1
C,C105,2,0,1,1,HP,flesh,16,0,1,1
C,C189,2,0,2,1,OP,flesh,16,0,5,1
P,P200,2,0,2,1,OP,flesh,16,1,1,1
P,P075,2,0,1,1,UNP,,17,2,2,1
P,P136,2,0,2,1,UNP,,17,0,1,1
P,P136,2,0,1,1,OP,crimson,17,4,1,1
P,P012,1,0,2,1,HP,p.green,18,2,4,1
P,P157,1,0,2,1,HP,p.blue,18,8,4,1
P,P235,1,0,1,1,UNP,,18,8,1,1
C,C105,2,0,1,1,OP,p.green,18,0,1,1
C,C127,2,0,2,1,OP,p.blue,18,5,5,1
P,P181,2,0,2,1,UNP,,18,7,5,1
P,P228,1,0,1,1,OP,blue,19,0,4,1
C,C158,2,0,1,1,UNP,,19,2,3,1
P,P107,2,0,1,1,UNP,,19,0,3,1
C,C094,1,0,1,1,OP,p.blue,20,3,4,1
C,C239,1,0,1,1,OP,purple,20,0,2,1
C,C161,1,0,2,1,UNP,,20,3,4,1
C,C127,2,0,1,1,UNP,,20,2,5,1
P,P075,2,0,1,1,UNP,,20,0,2,1
P,P172,2,0,1,1,UNP,,20,3,3,1
P,P190,2,0,1,1,HP,red,20,4,1,1
P,P157,1,0,1,1,HP,p.blue,21,2,4,1
P,P154,1,0,1,1,OP,p.green,21,7,4,1
P,P198,1,0,2,1,OP,red,21,3,4,1
C,C184,2,0,1,1,OP,yellow,21,1,5,1
P,P162,2,0,2,1,OP,p.green,21,0,3,1
P,P198,1,0,1,1,OP,red,22,6,4,1
P,P075,2,0,2,1,HP,p.blue,22,5,2,1
C,C072,1,0,1,1,OP,p.blue,23,0,4,1
P,P012,1,0,2,1,OP,orange,23,1,4,1
P,P154,1,0,1,1,UNP,,23,3,4,1
C,C188,2,0,1,1,UNP,,23,3,5,1
P,P075,2,0,2,1,OP,p.green,23,4,3,1
P,P155,2,0,2,1,UNP,,23,4,3,1
P,P181,2,0,1,1,UNP,,23,1,5,1
P,P146,1,0,1,1,UNP,,24,2,4,1
P,P220,1,0,1,1,UNP,,24,3,5,1
P,P227,1,0,1,1,UNP,,24,4,5,1
P,P136,2,0,1,1,HP,ocre,24,12,5,1
C,C184,1,0,2,1,HP,p.blue,25,4,4,1
P,P198,1,0,1,1,HP,yellow,25,0,4,1
C,C072,1,0,1,1,OP,p.blue,25,2,4,1
P,P229,1,0,1,1,UNP,,25,0,5,1
C,C027,2,0,2,1,UNP,,25,5,5,1
C,C105,2,0,1,1,HP,p.blue,25,0,1,1
C,C127,2,0,2,1,HP,p.green,25,11,5,1
C,C158,2,0,1,1,OP,blue,25,4,5,1
P,P122,1,0,2,1,UNP,,26,1,4,1
C,C189,2,0,1,1,OP,yellow,26,0,2,1
P,P172,2,0,2,1,UNP,,26,2,3,1
P,P189,2,0,1,1,UNP,,26,4,5,1
C,C012,1,0,2,1,OP,orange,27,0,4,1
P,P111,2,0,1,1,HP,ocre,27,0,3,1
P,P162,2,0,2,1,OP,LG,27,1,5,1
P,P162,2,0,2,1,HP,flesh,27,2,3,1
P,P012,1,0,1,1,HP,purple,28,4,4,1
P,P226,1,0,1,1,HP,yellow,28,1,4,1
P,P229,1,0,1,1,HP,green,28,2,4,1
P,P190,2,0,2,1,UNP,,28,5,1,1
P,P032,1,0,2,1,HP,p.green,29,5,4,1
P,P234,1,0,2,1,HP,green,29,4,5,1
P,P122,1,0,2,1,UNP,,29,0,4,1
P,P200,2,0,1,1,OP,p.blue,29,1,1,1
C,C072,1,0,1,1,HP,p.green,30,0,4,1
C,C146,1,0,2,1,UNP,,30,0,5,1
C,C230,1,0,1,1,UNP,,30,12,5,1
P,P003,1,0,1,1,UNP,,30,4,5,1
C,C027,2,0,2,1,UNP,,30,8,5,1
C,C158,2,0,1,1,UNP,,30,1,3,1
C,C184,2,0,1,1,OP,flesh,30,1,2,1
C,C189,2,0,1,1,OP,flesh,30,1,2,1
P,P158,2,0,2,1,OP,blue,30,1,5,1
P,P172,2,0,2,1,UNP,,30,3,5,1
P,P183,2,0,1,1,HP,p.green,30,2,5,1
P,P187,1,0,1,1,OP,red,31,4,5,1
C,C180,1,0,1,1,UNP,,31,3,4,1
P,P157,1,0,2,1,UNP,,31,6,4,1
C,C037,2,0,1,1,UNP,,31,3,5,1
C,C105,2,0,1,1,OP,p.green,31,0,1,1
P,P037,2,0,1,1,HP,flesh,31,1,5,1
P,P136,2,0,1,1,HP,p.green,31,5,5,1
P,P162,2,0,1,1,HP,flesh,31,4,5,1
C,C027,2,0,1,1,UNP,,32,4,5,1
C,C105,2,0,1,1,HP,p.blue,32,0,1,1
C,C189,2,0,2,1,OP,p.blue,32,1,5,1
P,P136,2,0,1,1,UNP,,32,4,1,1
C,C192,1,0,2,1,HP,p.blue,33,0,4,1
C,C233,1,0,1,1,HP,orange,33,2,5,1
P,P157,1,0,2,1,OP,p.green,33,5,4,1
C,C188,2,0,2,1,OP,p.blue,33,2,5,1
P,P107,2,0,1,1,UNP,,33,2,3,1
C,C230,1,0,1,1,UNP,,34,8,5,1
C,C127,2,0,1,1,HP,ocre,34,3,5,1
P,P136,2,0,1,1,UNP,,34,5,1,1
P,P157,2,0,1,1,OP,blue,34,5,5,1
P,P158,2,0,1,1,OP,blue,34,2,5,1
P,P012,1,0,2,1,HP,p.green,35,3,4,1
C,C011,1,0,1,1,UNP,,35,4,3,1
C,C124,1,0,1,1,UNP,,35,1,5,1
C,C151,1,0,1,1,UNP,,35,2,4,1
C,C184,1,0,2,1,UNP,,35,0,4,1
P,P010,1,0,1,1,UNP,,35,4,3,1
C,C189,2,0,1,1,HP,red,35,1,5,1
P,P189,2,0,1,1,UNP,,35,2,5,1
C,C184,1,0,1,1,HP,p.blue,36,2,4,1
P,P012,1,0,2,1,HP,purple,36,0,4,1
C,C106,1,0,1,1,OP,p.blue,36,0,4,1
C,C235,1,0,2,1,OP,purple,36,4,5,1
P,P198,1,0,1,1,OP,red,36,2,4,1
P,P229,1,0,2,1,OP,blue,36,4,4,1
P,P009,1,0,1,1,UNP,,36,0,2,1
C,C027,2,0,1,1,UNP,,36,2,5,1
C,C027,2,0,1,1,HP,p.green,36,5,5,1
C,C037,2,0,1,1,OP,LG,36,2,5,1
C,C158,2,0,1,1,UNP,,36,0,3,1
C,C184,2,0,1,1,HP,LG,36,1,5,1
C,C189,2,0,1,1,HP,LG,36,1,5,1
C,C190,2,0,1,1,UNP,,36,0,2,1
P,P155,2,0,1,1,OP,blue,36,3,3,1
P,P183,2,0,1,1,OP,p.blue,36,1,5,1
C,C008,1,0,2,1,OP,orange,37,0,5,1
P,P229,1,0,1,1,OP,blue,37,3,4,1
P,P228,1,0,2,1,OP ,blue,37,0,4,1
C,C184,1,0,1,1,UNP,,37,4,4,1
C,C237,1,0,1,1,UNP,,37,5,1,1
P,P154,1,0,1,1,UNP,,37,0,4,1
C,C189,2,0,2,1,OP,flesh,37,0,5,1
P,P037,2,0,2,1,UNP,,37,1,5,1
P,P075,2,0,2,1,UNP,,37,1,5,1
C,C065,1,0,1,1,HP,p.green,38,0,4,1
C,C077,1,0,1,1,UNP,,38,6,4,1
C,C091,1,0,2,1,UNP,,38,3,4,1
P,P010,1,0,1,1,UNP,,38,3,3,1
P,P220,1,0,1,1,UNP,,38,3,5,1
P,P075,2,0,1,1,UNP,,38,4,5,1
P,P155,2,0,1,1,UNP,,38,4,3,1
C,C237,1,0,1,1,HP,orange,39,6,5,1
P,P164,1,0,2,1,HP,p.blue,39,2,4,1
C,C152,1,0,2,1,OP,p.green,39,5,4,1
C,C165,1,0,2,1,OP,p.green,39,2,4,1
C,C106,1,0,2,1,UNP,,39,0,4,1
C,C165,1,0,1,1,UNP,,39,7,4,1
P,P164,1,0,2,1,UNP,,39,3,4,1
C,C198,2,0,1,1,UNP,,39,0,1,1
P,P032,1,0,2,1,HP,p.green,40,2,4,1
C,C232,1,0,2,1,UNP,,40,0,2,1
P,P244,1,0,1,1,UNP,,40,5,5,1
C,C027,2,0,2,1,HP,p.green,40,4,5,1
C,C105,2,0,1,1,UNP,,40,1,3,1
P,P155,2,0,1,1,UNP,,40,3,3,1
P,P190,2,0,2,1,UNP,,40,0,1,1
P,P190,2,0,1,1,UNP,,40,2,5,1
C,C008,1,0,2,1,HP,purple,41,4,5,1
P,P146,1,0,1,1,OP,p.green,41,4,4,1
C,C235,1,0,2,1,UNP,,41,5,1,1
P,P164,1,0,2,1,UNP,,41,4,4,1
P,P229,1,0,2,1,UNP,,41,0,5,1
P,P162,2,0,1,1,OP,LG,41,3,5,1
P,P012,1,0,2,1,HP,purple,42,1,4,1
P,P234,1,0,1,1,OP,blue,42,2,5,1
C,C065,1,0,2,1,UNP,,42,0,4,1
C,C192,1,0,2,1,UNP,,42,2,4,1
P,P032,1,0,2,1,UNP,,42,5,4,1
P,P094,1,0,1,1,UNP,,42,1,4,1
P,P158,1,0,1,1,UNP,,42,0,4,1
C,C027,2,0,1,1,OP,p.blue,42,3,5,1
P,P162,2,0,2,1,OP,LG,42,5,5,1
P,P181,2,0,2,1,UNP,,42,4,5,1
P,P183,2,0,2,1,HP,red,42,1,5,1
C,C233,1,0,2,1,HP,orange,43,6,5,1
P,P012,1,0,2,1,HP,purple,43,2,4,1
C,C152,1,0,2,1,OP,p.green,43,4,4,1
C,C184,1,0,1,1,OP,p.green,43,2,4,1
C,C067,1,0,1,1,UNP,,43,0,4,1
C,C106,1,0,1,1,UNP,,43,0,4,1
C,C151,1,0,2,1,UNP,,43,2,4,1
C,C155,1,0,1,1,UNP,,43,4,4,1
C,C161,1,0,1,1,UNP,,43,1,4,1
C,C235,1,0,1,1,UNP,,43,4,1,1
C,C237,1,0,1,1,UNP,,43,2,1,1
P,P003,1,0,1,1,UNP,,43,1,5,1
C,C127,2,0,1,1,UNP,,43,8,5,1
C,C184,2,0,1,1,UNP,,43,2,5,1
P,P037,2,0,1,1,HP,p.blue,43,2,5,1
P,P136,2,0,1,1,HP,ocre,43,4,5,1
P,P184,2,0,2,1,HP,p.green,43,2,5,1
P,P189,2,0,2,1,HP,p.green,43,2,5,1
C,C106,1,0,1,1,HP,p.green,44,1,4,1
C,C235,1,0,2,1,HP,orange,44,2,5,1
P,P012,1,0,2,1,HP,p.green,44,3,4,1
P,P032,1,0,2,1,HP,p.green,44,2,4,1
C,C090,1,0,2,1,UNP,,44,1,4,1
C,C105,2,0,2,1,UNP,,44,1,3,1
C,C189,2,0,2,1,HP,p.green,44,1,5,1
P,P200,2,0,2,1,HP,LG,44,0,1,1
P,P012,1,0,2,1,HP,purple,45,3,4,1
P,P228,1,0,2,1,HP,green,45,0,4,1
C,C180,1,0,1,1,UNP,,45,0,4,1
P,P010,1,0,1,1,UNP,,45,2,3,1
C,C151,2,0,1,1,HP,green,45,0,1,1
P,P037,2,0,1,1,OP,p.green,45,3,5,1
P,P158,2,0,2,1,UNP,,45,2,5,1
P,P200,2,0,1,1,HP,p.green,45,0,1,1
C,C235,1,0,1,1,HP,p.blue,46,5,1,1
P,P146,1,0,1,1,HP,p.blue,46,2,4,1
P,P234,1,0,1,1,HP,orange,46,4,5,1
C,C072,1,0,1,1,UNP,,46,5,4,1
C,C151,1,0,1,1,UNP,,46,2,4,1
C,C230,1,0,1,1,UNP,,46,9,5,1
P,P094,1,0,1,1,UNP,,46,1,4,1
P,P222,1,0,2,1,UNP,,46,2,5,1
C,C105,2,0,2,1,HP,ocre,46,0,1,1
C,C188,2,0,1,1,UNP,,46,3,5,1
P,P162,2,0,1,1,OP,p.green,46,10,5,1
C,C011,1,0,1,1,HP,purple,47,4,3,1
C,C012,1,0,2,1,HP,purple,47,4,4,1
P,P012,1,0,1,1,OP,orange ,47,3,4,1
C,C065,1,0,1,1,UNP,,47,0,4,1
P,P012,1,0,2,1,OP,orange,48,2,4,1
C,C121,1,0,1,1,OP ,p.green,48,8,5,1
C,C061,1,0,1,1,UNP,,48,3,4,1
C,C090,1,0,2,1,UNP,,48,0,4,1
C,C146,1,0,1,1,UNP,,48,0,5,1
C,C161,1,0,1,1,UNP,,48,4,4,1
P,P032,1,0,1,1,UNP,,48,2,4,1
P,P220,1,0,1,1,UNP,,48,3,5,1
P,P220,1,0,1,1,UNP,,48,3,5,1
C,C190,2,0,2,1,OP,yellow,48,3,5,1
P,P162,2,0,2,1,HP,flesh,48,1,3,1
C,C012,1,0,2,1,OP,orange,49,1,4,1
C,C235,1,0,2,1,OP,purple,49,5,5,1
C,C061,1,0,1,1,UNP,,49,6,4,1
C,C065,1,0,1,1,UNP,,49,0,4,1
C,C151,1,0,2,1,UNP,,49,3,4,1
C,C165,1,0,1,1,UNP,,49,2,4,1
P,P010,1,0,1,1,UNP,,49,2,3,1
C,C037,2,0,1,1,UNP,,49,6,5,1
C,C158,2,0,1,1,UNP,,49,4,5,1
P,P111,2,0,1,1,UNP,,49,2,3,1
C,C180,1,0,1,1,HP,p.blue,50,1,4,1
C,C235,1,0,2,1,HP,orange,50,2,5,1
P,P154,1,0,1,1,HP,p.blue,50,1,4,1
P,P187,1,0,1,1,HP,yellow,50,3,5,1
P,P012,1,0,2,1,OP,orange,50,3,4,1
P,P032,1,0,2,1,OP,p.blue,50,1,4,1
C,C183,1,0,1,1,UNP,,50,4,4,1
C,C237,1,0,1,1,UNP,,50,0,1,1
P,P009,1,0,1,1,UNP,,50,0,2,1
P,P146,1,0,1,1,UNP,,50,0,4,1
C,C151,2,0,2,1,OP,p.green,50,0,1,1
C,C190,2,0,1,1,UNP,,50,3,2,1
P,P111,2,0,1,1,UNP,,50,1,3,1
P,P162,2,0,2,1,HP,p.blue,50,0,3,1
P,P162,2,0,2,1,OP,p.green,50,1,3,1
P,P181,2,0,2,1,UNP,,50,2,5,1
P,P183,2,0,1,1,HP,red,50,1,5,1
P,P234,1,0,2,1,HP,green,51,3,5,1
C,C106,1,0,1,1,UNP,,51,0,4,1
C,C235,1,0,1,1,UNP,,51,2,1,1
C,C239,1,0,2,1,UNP,,51,0,1,1
P,P012,1,0,2,1,HP,purple,52,4,4,1
P,P234,1,0,2,1,HP,orange,52,7,5,1
C,C037,2,0,1,1,UNP,,52,3,5,1
C,C184,2,0,1,1,HP,red,52,2,5,1
P,P037,2,0,2,1,UNP,,52,3,5,1
P,P158,2,0,1,1,UNP,,52,1,5,1
P,P162,2,0,2,1,OP,LG,52,1,5,1
P,P234,1,0,2,1,HP,orange,53,4,5,1
P,P187,1,0,1,1,OP,red,53,3,5,1
C,C076,1,0,1,1,UNP,,53,2,4,1
C,C133,1,0,1,1,UNP,,53,1,5,1
C,C159,1,0,2,1,UNP,,53,3,4,1
P,P032,1,0,2,1,UNP,,53,4,4,1
P,P157,1,0,1,1,UNP,,53,1,4,1
P,P220,1,0,1,1,UNP,,53,5,5,1
C,C184,2,0,2,1,UNP,,53,2,5,1
C,C235,1,0,1,1,HP,orange,54,2,5,1
P,P157,1,0,2,1,OP,p.green,54,4,4,1
C,C091,1,0,2,1,UNP,,54,4,4,1
C,C239,1,0,1,1,UNP,,54,5,1,1
P,P198,1,0,1,1,UNP,,54,4,5,1
P,P012,1,0,2,1,HP,purple,55,3,4,1
P,P012,1,0,2,1,HP,purple,55,1,4,1
C,C011,1,0,1,1,OP,orange,55,3,3,1
P,P234,1,0,1,1,OP,blue,55,2,5,1
C,C106,1,0,2,1,UNP,,55,1,4,1
C,C180,1,0,1,1,UNP,,55,1,4,1
C,C230,1,0,1,1,UNP,,55,6,5,1
C,C012,1,0,2,1,HP,purple,56,0,4,1
C,C183,1,0,2,1,HP,p.blue,56,2,4,1
P,P228,1,0,1,1,HP,green,56,0,4,1
C,C065,1,0,2,1,UNP,,56,0,4,1
C,C090,1,0,1,1,UNP,,56,0,4,1
C,C090,1,0,1,1,UNP,,56,0,4,1
C,C098,1,0,1,1,UNP,,56,6,4,1
C,C121,1,0,2,1,UNP,,56,10,5,1
C,C181,1,0,1,1,UNP,,56,0,4,1
P,P107,2,0,1,1,UNP,,56,2,3,1
C,C011,1,0,1,1,HP,purple,57,3,3,1
C,C235,1,0,2,1,OP,purple,57,4,5,1
C,C098,1,0,1,1,UNP,,57,4,4,1
C,C235,1,0,2,1,UNP,,57,0,1,1
C,C239,1,0,1,1,UNP,,57,3,1,1
P,P158,1,0,1,1,UNP,,57,0,4,1
P,P243,1,0,1,1,UNP,,57,4,5,1
C,C127,2,0,1,1,UNP,,57,0,5,1
C,C151,2,0,2,1,OP,p.green,57,1,4,1
P,P157,2,0,1,1,HP,green,57,0,5,1
C,C159,1,0,2,1,HP,p.blue,58,2,4,1
C,C193,1,0,1,1,HP,yellow,58,0,5,1
C,C012,1,0,2,1,OP,orange,58,2,4,1
C,C235,1,0,2,1,OP,p.green,58,4,1,1
P,P164,1,0,2,1,OP,p.green,58,0,4,1
P,P234,1,0,2,1,OP,blue,58,3,5,1
C,C061,1,0,2,1,UNP,,58,4,4,1
C,C110,1,0,1,1,UNP,,58,5,4,1
C,C151,1,0,1,1,UNP,,58,1,4,1
C,C159,1,0,2,1,UNP,,58,4,4,1
C,C180,1,0,1,1,UNP,,58,4,4,1
P,P244,1,0,1,1,UNP,,58,6,5,1
C,C198,2,0,1,1,UNP,,58,0,1,1
P,P200,2,0,1,1,UNP,,58,3,1,1
P,P012,1,0,2,1,HP,purple,59,5,4,1
C,C008,1,0,1,1,UNP,,59,4,5,1
C,C110,1,0,1,1,UNP,,59,4,4,1
C,C159,1,0,1,1,UNP,,59,0,4,1
C,C199,1,0,1,1,UNP,,59,0,4,1
P,P003,1,0,1,1,UNP,,59,1,5,1
P,P032,1,0,1,1,UNP,,59,5,4,1
P,P200,1,0,2,1,UNP,,59,4,4,1
P,P111,2,0,1,1,UNP,,59,2,3,1
P,P181,2,0,2,1,UNP,,59,1,5,1
P,P183,2,0,1,1,OP,yellow,59,1,5,1
P,P189,2,0,2,1,UNP,,59,3,5,1
P,P200,2,0,2,1,HP,LG,59,0,1,1
